ID;Type;SKU;Name;Published;Is featured?;Visibility in catalog;Short description;Description;Date sale price starts;Date sale price ends;Tax status;Tax class;In stock?;Stock;Backorders allowed?;Sold individually?;Weight (lbs);Length (in);Width (in);Height (in);Allow customer reviews?;Purchase note;Sale price;Regular price;Categories;Tags;Shipping class;Images;Download limit;Download expiry days;Parent;Grouped products;Upsells;Cross-sells;External URL;Button text;Position;Attribute 1 name;Attribute 1 value(s);Attribute 1 visible;Attribute 1 global;Attribute 2 name;Attribute 2 value(s);Attribute 2 visible;Attribute 2 global;Meta: _wpcom_is_markdown;Download 1 name;Download 1 URL;Download 2 name;Download 2 URL
;simple;;Gel Nettoyant 200ml;1;1;visible;;"Avec l’aloe Vera et l’huile d’argan, ce gel nettoyant visage nettoie en douceur et désobstrue les pores en profondeur. La peau est nette, fraiche et purifiée.

Appliquez sur une peau mouillée et faire mousser pour un nettoyage optimal, rincez abondamment.

";;;taxable;;1;;0;0;;;;;1;;16,9;11,83;SANTE ET BEAUTE;;;;;;;;;;;;0;Color;Blue, Green, Red;1;1;Size;Large, Medium, Small;1;1;1;;;;
;simple;;Après Rasage;1;1;visible;;"Apaisant + Hydratant 24H + Défatigant

Ce soin Après-rasage hypoallergénique avec une formule hautement concentrée et riche en Aloe Vera et en huile d’argan, pénètre facilement, laissant la peau tonifiée, hydratée et extrêmement douce et apaisée. Faites de l’instant rasage un moment de plaisir grâce à cet après-rasage sans alcool ! Appliquez après le rasage.

";;;taxable;;1;;0;0;;;;;1;;13,8;9,66;SANTE ET BEAUTE;;;;;;;;;;;;0;Color;Blue, Green, Red;1;1;Logo;Yes, No;1;0;1;;;;
;simple;;Ecran SPF 50+;1;1;visible;;"Jamais un écran n’a été aussi Riche

Cet Ecran d’Arvea Nature a un indice de protection solaire +50.

La crème est concentrée et n’est pas huileuse, elle est Waterproof, elle pénètre très rapidement, et surtout ne laisse pas la peau grasse.

Ne laisse pas de résidus ou de sensation collante sur la peau.";;;taxable;;1;;0;0;;;;;1;;32,8;22,96;SANTE ET BEAUTE;;;;;;;;;;;;0;Color;Blue;1;1;;;;;1;;;;
;simple;;Six Cream Teint Clair;1;1;visible;;"Le Six Cream est une Innovation d’Arvea Nature.

En effet la Six cream est une crème riche qui permet six actions jamais réunis dans la même crème.

La Six Cream est :

Hydratante
Anti âge
Ecran SPF 50+
Teinté
Anti Tâches
Eclaircissante
Apporte un toucher doux et velouté à la peau.";;;taxable;;1;;0;0;;;;;1;;34,8;24,36;SANTE ET BEAUTE;;;;;;;;;;;;0;Color;Gray;1;1;;;;;1;;;;
;simple;;Six Cream Teint Beige Abricot;1;1;visible;;"Le Six Cream est une Innovation d’Arvea Nature.

En effet la Six cream est une crème riche qui permet six actions jamais réunis dans la même crème.

La Six Cream est :

Hydratante
Anti âge
Ecran SPF 50+
Teinté
Anti Tâches
Eclaircissante
Apporte un toucher doux et velouté à la peau.";;;taxable;;1;;0;0;;;;;1;;34,8;24,36;SANTE ET BEAUTE;;;;;;;;;;;;0;Color;Red;1;1;;;;;1;;;;
;simple;;Crème De Nuit;1;1;visible;;"La nouvelle crème de nuit d’arvea nature associe les vertus hydratantes d’aloe vera, huile d’argan et beurre de karité avec une des huiles les plus chères du monde : huile de pepins de figue de barbarie 100% bio

La forte concentration en vitamine E de l’huile de figue de barbarie est plus importante que n’importe quelle autre huile sur le marché (supérieure à 100 mg/100 g) ce qui en fait un puissant antioxydant.

L’huile de figue de Barbarie remplie parfaitement son rôle d'anti-age et d’anti-rides. Sur la peau, elle possède 1001 propriétés, comme entre autres d’affiner et de resserrer le grain de peau, d’estomper les petites tâches parfois disgracieuses, de réguler le sébum mais aussi de limiter la déshydratation.

L'huile de figue de barbarie offre une extraordinaire cure de jouvence à votre peau. Elle fait barrage au vieillissement cutané et booste le renouvellement cellulaire. Résultat, elle diminue les rides, s'attaque aux cernes disgracieuses et offre une protection contre les agressions quotidiennes de la peau.

Au toucher, l'huile de figue de barbarie est moins grasse que d'autres huiles et elle pénètre rapidement dans l'épiderme. Surtout, elle convient à tous types de peaux, grasse, sèche ou mixte, et même se rendre utile à tout âge, ce qui en fait un produit familial.

Utlisation : Appliquer sur le visage et le cou le soir

";;;taxable;;1;;0;0;;;;;1;;44,8;31,36;SANTE ET BEAUTE;;;;;;;;;;;;0;;;;;;;;;1;;;;
;simple;;Baume À Lèvres;1;1;visible;;Le baume à lèvres ARVEA contient 4 actifs naturels essentiels à l’hydratation des lèvres : Aloe Vera, Huile d’argan, Huile de jojoba et Beurre de karité. Ce soin riche en vitamines aide à retrouver l’équilibre des parties labiales grâce aux apports d’éléments nutritifs. Il permet également de nourrir, hydrater, assouplir et réparer les lèvres desséchées et gercées grâce aux agents hydratants et apaisants qu’il renferme. Conseil d’utilisation : Appliquez quotidiennement ce stick pour traiter les lèvres abîmées ou déshydratées. Après son application, Ce Baume à lèvres ARVEA est le remède qu’il faut pour assurer le bien-être de vos lèvres. Les lèvres sont réparées, hydratées, nourries et repulpées.;;;taxable;;1;;0;0;;;;;1;;12,9;9,03;SANTE ET BEAUTE;;;;;;;;;;;;0;Color;Yellow;1;1;;;;;1;;;;
;simple;;Masque Exfoliant;1;1;visible;;Vous souhaitez exfolier délicatement votre visage ? Le masque Gommage Gourmand Abricot ARVEA répond aujourd’hui à votre besoin. Grâce à la poudre de noyaux d’abricot, ce masque exfoliant fruité permet une élimination efficace des cellules mortes de la peau du visage et gomme énergiquement les impuretés cutanées comme l’excès de sébum pour qu’elle retrouve douceur, transparence, fraîcheur, tonus et éclat. Particulièrement adapté aux peaux mixtes et grasses, ce gommage unifie le teint et stimule le renouvellement cellulaire. Ingrédients actifs : La poudre de noyaux d'abricot : Aloe vera, Huile d’argan bio Extrait naturel de concombre, Huile naturelle de nigelle . Appliquez sur le visage mouillé avec un léger massage circulaire pour un nettoyage profond puis rincez avec l'eau.;;;taxable;;1;;0;0;;;;;1;;29,9;20,93;SANTE ET BEAUTE;;;;;;;;;;;;0;;;;;;;;;1;;;;
;simple;;Crème De Jour;1;1;visible;;"creme protectrice Crème de jour hydratante à l’Aloe Vera et Huile d’Argan pour apporter hydratation intense à la peau et lui rendre son élasticité. L’indice solaire SPF15 permet de protéger la peau contre les agressions des rayons UV. Mode d’emploi: Appliquez une noisette de crème chaque matin sur le visage et le cou bien nettoyés.

";;;taxable;;1;;0;0;;;;;1;;29,8;20,86;SANTE ET BEAUTE;;;;;;;;;;;;0;Color;Gray;1;1;;;;;1;;;;
;simple;;BB Cream;1;1;visible;;Ce coffret contient 6 Savons ARVEA avec des parfums qui vont plonger votre maison dans le monde des parfums orientaux (Sans colorants) Les 6 savons sont dans un coffret prestigieux en bois. Le coffret Oriental est une très bonne idée Cadeaux Les 6 parfums sont : Savon Bkhour, Savon Misk, Savon Nigel, Savon Datte, Savon Ambre, Savon Oud des parfums qui nous font voyager dans l’univers Oriental.;;;taxable;;1;;0;0;;;;;1;;48,9;34,23;SANTE ET BEAUTE;;;;;;;;;;;;0;;;;;;;;;1;;;;
;simple;;FOND DE TEINT FT1;1;1;visible;;BB Cream ARVEA au Provitamine B5 et Aloe Vera pour un effet bonne mine instantané, hydratation profonde et une peau plus pure jour après jour. Sans filtres chimiques. Haute protection solaire de la peau. Très large protection UVB-UVA. Très résistante à l’eau (waterproof). Estompe les petites imperfections, les rougeurs, les ridules et les signes de fatigue. Un teint illuminant et naturel.;;;taxable;;1;;0;0;;;;;1;;53,9;37,73;SANTE ET BEAUTE;;;;;;;;;;;;0;Color;Green;1;1;;;;;1;;;;
;simple;;FOND DE TEINT FT2;1;1;visible;;Un fond de teint parfait pour votre quotidien doté d’une protection solaire SPF 20 assurée par des filtres 100% minéraux. Une formule sans filtres chimiques.;;;taxable;;1;;0;0;;;;;1;;53,9;37,73;SANTE ET BEAUTE;;;;;;;;;;;;0;Color;Blue;1;1;;;;;1;;;;
;simple;;FOND DE TEINT FT3;1;1;visible;;Un fond de teint parfait pour votre quotidien doté d’une protection solaire SPF 20 assurée par des filtres 100% minéraux. Une formule sans filtres chimiques.;;;taxable;;1;;0;0;;;;;1;;53,9;37,73;SANTE ET BEAUTE;;;;;;;;;;;;0;;;;;;;;;1;Single 1;https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2017/08/single.jpg;Single 2;https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2017/08/album.jpg
;simple;;Crème Anti-Taches;1;1;visible;;C'est un soin anti-taches qui cible et estompe les taches de la peau et lui redonne son éclat naturel. Il combine des actifs naturels de très haute pureté créant une synergie inégalée pour un effet anti-tâches irréprochable.;;;taxable;;1;;0;0;;;;;1;;49,8;34,86;SANTE ET BEAUTE;;;;;;;;;;;;0;;;;;;;;;1;Single;https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2017/08/single.jpg;;
;simple;;Savon Hygiène À L’Argan;1;1;visible;;"Savon doux Enrichie à l’huile d’argan

Nettoie & adoucit

Le Savon hygiène à l’Argan procure une douceur très naturelle après utilisation vue sa composition en Huile d’argan 100% bio, émulsifiant, dégraissant, nettoyant et moussant de très bonne qualité pour la peau.";;;taxable;;1;;0;0;;;;;1;;7,9;5,53;SANTE ET BEAUTE;;;;;;;;;;;;0;Color;Red;;1;Size;;;1;;;;;
;simple;;Savon Exfoliant À L’aloe Vera;1;1;visible;;"Le Savon Exfoliant à l’aloe vera est fabriqué à partir d’une base végétale extra-douce.

Riche en aloe vera, aux propriétés adoucissante et protectrice, ce savon est adapté à un usage quotidien, idéal pour le visage et le corps.";;;taxable;;1;;0;0;;;;;1;;7,9;5,53;SANTE ET BEAUTE;;;;;;;;;;;;0;Color;Green;;1;Size;;;1;;;;;
;simple;;Gel Douche Berry;1;1;visible;;"Nettoie, Hydrate et parfume

Enrichie à l'huile d'argan et à l'aloe vera, ce gel douche Adoucit et sublime la peau avec un parfum berrey rafraichissant.

";;;taxable;;1;;0;0;;;;;1;;13,9;9,73;SANTE ET BEAUTE;;;;;;;;;;;;0;Color;Blue;;1;Size;;;1;;;;;
;simple;;Gel Douche Citron;1;1;visible;;"Nettoie, Hydrate et parfume

Enrichie à l'huile d'argan et à l'aloe vera, ce gel douche Adoucit et sublime la peau avec un parfum citron rafraichissant.";;;taxable;;1;;0;0;;;;;1;;13,9;9,73;SANTE ET BEAUTE;;;;;;;;;;;;1;Color;Red;;1;Logo;No;;0;;;;;
;simple;;Roll On Déodorant Vanille;1;1;visible;;"Action antiperspirantes sans opposition au processus naturel de la sécrétion de la sueur.

Ne tache pas, ne colle pas et sèche rapidement. Efficacité garantit pour 48 H. Neutralise les odeurs. Enrichie à L’Aloe Vera qui est cicatrisante, régénérante, hydratante et anti-inflammatoire.

Sans parabène, Sans allergènes, Sans alcool, Sans sel d’aluminium

Le roll-on Arvea s’applique directement sur les aisselles grâce à sa bille. il vous apporte la douceur de l'aloe vera, pour une efficacité discrète et naturelle.

L'effe t fraîcheur immédiat du Roll-On avec un parfum ocean pour une efficacité déodorante haute fidélité.

S'applique sur peau propre et sèche et convient à tous les types de peau, même les plus sensibles. Non gras, non collant.";;;taxable;;1;;0;0;;;;;1;;14,9;10,43;SANTE ET BEAUTE;;;;;;;;;;;;2;Color;Green;;1;Logo;No;;0;;;;;
;simple;;Roll On Déodorant Ocean;1;1;visible;;"Action antiperspirantes sans opposition au processus naturel de la sécrétion de la sueur.

Ne tache pas, ne colle pas et sèche rapidement. Efficacité garantit pour 48 H. Neutralise les odeurs.

Enrichie à L’Aloe Vera qui est cicatrisante, régénérante, hydratante et anti-inflammatoire.

Sans parabène, Sans allergènes, Sans alcool, Sans sel d’aluminium Le roll-on Arvea s’applique directement sur les aisselles grâce à sa bille. il vous apporte la douceur de l'aloe vera, pour une efficacité discrète et naturelle.

L'effe t fraîcheur immédiat du Roll-On avec un parfum ocean pour une efficacité déodorante haute fidélité.

S'applique sur peau propre et sèche et convient à tous les types de peau, même les plus sensibles. Non gras, non collant.";;;taxable;;1;;0;0;;;;;1;;14,9;10,43;SANTE ET BEAUTE;;;;;;;;;;;;3;Color;Blue;;1;Logo;No;;0;;;;;
;simple;;Spray Déodorant Pieds;1;1;visible;;"Corps et visage Hydratante et Nourrissante

Aloe vera + Huile d'argan + Beurre de karité Un concentré d'hydratation 24h à la fois douce et riche elle pénètre immédiatement sans effet gras.

Elle peut être utilisé pour votre visage, votre corps ainsi comme crème mains et pieds.

La crème Miracle est conçu pour être votre crème de tous les jours.";;;taxable;;1;;0;0;;;;;1;;22,8;15,96;SANTE ET BEAUTE;;;;;;;;;;;;0;Color;Gray;1;1;;;;;1;;;;
;simple;;Crème Miracle;1;1;visible;;"Corps et visage Hydratante et Nourrissante

Aloe vera + Huile d'argan + Beurre de karité Un concentré d'hydratation 24h à la fois douce et riche elle pénètre immédiatement sans effet gras.

Elle peut être utilisé pour votre visage, votre corps ainsi comme crème mains et pieds.

La crème Miracle est conçu pour être votre crème de tous les jours.";;;taxable;;1;;0;0;;;;;1;;25,9;18,13;SANTE ET BEAUTE;;;;;;;;;;;;0;Color;Red;1;1;;;;;1;;;;
;simple;;Crème PUSH UP;1;1;visible;;"En 55 jours jusqu'à 8% de volume de plus Plus de Volume et plus de fermeté de la peau. Crème PUSH UP amplifie les volumes cutanés par un effet cosmétique de lipofilling.

La Sarsasapogenine, extraite des racines d'une plante asiatique, l' Anemarrhena asphodeloides.

En plus cette crème est enrichie à l'huile de pépin de figue de barbarie.

Application : Soin du corps pour la poitrine et le décolleté, les fesses, les mains ou les joues. à utiliser chaque jour après la douche une à deux applications par jour.";;;taxable;;1;;0;0;;;;;1;;42;29,4;SANTE ET BEAUTE;;;;;;;woo-hoodie-with-logo, woo-tshirt, woo-beanie;;;;;0;;;;;;;;;1;;;;
;simple;;Gel Douche Vanille;1;1;visible;;"Format Familal 400 ml

Nettoi, Hydrate et parfume Adoucit et sublime la peau avec sa texture onctueuse et veloutée pour laver, hydrater et parfumer la peau.";;;taxable;;1;;0;0;;;;;1;;13,9;9,73;SANTE ET BEAUTE;;;;;;;;;;https://mercantile.wordpress.org/product/wordpress-pennant/;Buy on the WordPress swag store!;0;;;;;;;;;1;;;;
;simple;;Gel Douche Ocean;1;1;visible;;"Format Familal 400 ml

Nettoi, Hydrate et parfume Adoucit et sublime la peau avec sa texture onctueuse et veloutée pour laver, hydrater et parfumer la peau.

";;;taxable;;1;;0;0;;;;;1;;13,9;9,73;SANTE ET BEAUTE;;;;;;woo-hoodie;;;;;;0;Color;Blue;;1;Logo;Yes;;0;;;;;
;simple;;CREME MAINS Super Hydratante;1;1;visible;;"ALOE VERA + Huile d’Argan + Beurre de karité

Enrichie en beurre de karité, en huile d’argan et en aloe vera, cette crème onctueuse pénètre facilement pour réconforter vos pieds desséchés.

Cette crème soulage et délasse les pieds, même les plus secs et abîmés.

Conseil d’utilisation :

A appliquer sur des pieds propres et secs, en massage prolongé, sur les chevilles, et entre les orteils.

Elle peut être utilisée en massage au quotidien ou en usage ponctuel.

En cas de peau très sèche, on peut enrichir cette crème en la mélangeant dans le creux de la main avec une goutte d’huile d’argan.";;;taxable;;1;;0;0;;;;;1;;12,8;8,96;SANTE ET BEAUTE;;;;;;;;;;;;;;;;;;;;;;;;;
;simple;;CRÈME PIEDS SUPER HYDRATANTE;1;1;visible;;"ALOE VERA + Huile d’Argan + Beurre de karité

Enrichie en beurre de karité, en huile d’argan et en aloe vera, cette crème onctueuse pénètre facilement pour réconforter vos pieds desséchés.

Cette crème soulage et délasse les pieds, même les plus secs et abîmés.

Conseil d’utilisation :

A appliquer sur des pieds propres et secs, en massage prolongé, sur les chevilles, et entre les orteils.

Elle peut être utilisée en massage au quotidien ou en usage ponctuel.

En cas de peau très sèche, on peut enrichir cette crème en la mélangeant dans le creux de la main avec une goutte d’huile d’argan.

";;;;;;;;;;;;;;;12,8;8,96;SANTE ET BEAUTE;;;;;;;;;;;;;;;;;;;;;;;;;
;simple;;CREME MAINS Cerise;1;1;visible;;"ALOE VERA + Huile d’Argan + Beurre de karité

Enrichie en beurre de karité, en huile d’argan et en aloe vera, cette crème onctueuse pénètre facilement pour réconforter vos pieds desséchés.

Cette crème soulage et délasse les pieds, même les plus secs et abîmés tout en laissant un parfum cerise agréable. Conseil d’utilisation :

A appliquer sur des pieds propres et secs, en massage prolongé, sur les chevilles, et entre les orteils.

Elle peut être utilisée en massage au quotidien ou en usage ponctuel.

En cas de peau très sèche, on peut enrichir cette crème en la mélangeant dans le creux de la main avec une goutte d’huile d’argan.";;;taxable;;1;;0;0;;;;;1;;12,8;8,96;SANTE ET BEAUTE;;;;;;;;;;;;;;;;;;;;;;;;;
;simple;;Bain De Bouche;1;1;visible;;;;;taxable;;1;;0;0;;;;;1;;19,8;13,86;SANTE ET BEAUTE;;;;;;;;;;;;;;;;;;;;;;;;;
;simple;;Savon Au Son De Blé Et Miel;1;1;visible;;"Le savon exfoliant d’Arvea Nature au son de blé et miel est le plus doux des savons exfoliants.

Ce savon est idéal même pour les peaux les plus sensibles. Il possède les vertus nettoyants du son de blé et adoucissants du miel pour un gommage tout en douceur pour le visage et le corps.

A utiliser quotidiennement pour une peau propre, douce et régénérée.";;;taxable;;1;;0;0;;;;;1;;7,9;5,53;SANTE ET BEAUTE;;;;;;;;;;;;;;;;;;;;;;;;;
;simple;;Savon Miracle;1;1;visible;;Savon 100% végétal moulé aux feuilles de verveine, délicatement parfumé, pour la douche avec une ficelle, pratique pour l'accrocher, la décoration et pour diffuser son parfum sublime. A base d'huiles 100% végétales : huile d'argan 100% bio + huile d'olive 100% bio + huile essentielle de camomille + vitamine E + feuilles de verveine Votre peau propre, douce et parfumée. 185g Utilisation : A utiliser quotidiennement pour une peau propre, douce et régénérée.;;;taxable;;1;;0;0;;;;;1;;10,8;7,56;SANTE ET BEAUTE;;;;;;;;;;;;;;;;;;;;;;;;;
;simple;;Gel pour toilette intime ;1;1;visible;;"Ce gel pour toilette intime, possède des vertus anti bactériens, antifongiques. Il régule le PH de la muqueuse vaginale et la protège de toute infection grâce à l’Aloe Vera et l’acide lactique. Ce soin a aussi des propriétés relaxantes, cicatrisantes, apaisantes et adoucissantes pour une hygiène quotidienne parfaite tout en respectant le PH des muqueuses

Ce gel doux s’utilise quotidiennement une fois sur les parties intimes. Une fois que ce produit mousse, bien rincer la peau à l’eau.";;;taxable;;1;;0;0;;;;;1;;14,8;10,36;SANTE ET BEAUTE;;;;;;;;;;;;;;;;;;;;;;;;;
;simple;;Roll on agrume;1;1;visible;;"Sans parabène, Sans allergènes, Sans alcool, Sans sel d’aluminium, ce roll on assure unefraîcheur immédiate pour une efficacité déodorante haute-fidélité sans tacher ni coller à vos vêtements. Ce roll on associe les vertus de l’Aloe Vera qui est cicatrisante, régénérant, hydratante et anti-inflammatoire et la pierre d’alun naturelle qui est un anti transpirant qui ne bouche pas les pores. Efficacité garantie pour 48 H.

";;;taxable;;1;;0;0;;;;;1;;14,9;10,43;SANTE ET BEAUTE;;;;;;;;;;;;;;;;;;;;;;;;;
;simple;;Gel douche agrume;1;1;visible;;"Format Familal 400 ml

Nettoi, Hydrate et parfume Adoucit et sublime la peau avec sa texture onctueuse et veloutée pour laver, hydrater et parfumer la peau.";;;taxable;;1;;0;0;;;;;1;;13,9;9,73;SANTE ET BEAUTE;;;;;;;;;;;;;;;;;;;;;;;;;
;simple;;Crème pour Le Corps Glamour;1;1;visible;;;;;taxable;;1;;0;0;;;;;1;;9,9;6,93;SANTE ET BEAUTE;;;;;;;;;;;;;;;;;;;;;;;;;
;simple;;Crème pour Le Corps L’extrême;1;1;visible;;;;;taxable;;1;;0;0;;;;;1;;9,9;6,93;SANTE ET BEAUTE;;;;;;;;;;;;;;;;;;;;;;;;;
;simple;;Crème pour Le Corps Mistery Girl;1;1;visible;;;;;taxable;;1;;0;0;;;;;1;;9,9;6,93;SANTE ET BEAUTE;;;;;;;;;;;;;;;;;;;;;;;;;
;simple;;Crème pour Le Corps Free Spirit;1;1;visible;;;;;taxable;;1;;0;0;;;;;1;;9,9;6,93;SANTE ET BEAUTE;;;;;;;;;;;;;;;;;;;;;;;;;
;simple;;Crème Pieds Très Secs Et Abîmés;1;1;visible;;Sa texture riche en Aloe Vera, beurre de karité, huile d’argan, huile de pépins de raisin et huile d’amandes douce associe les vertus de ces ingrédients avec celles des extraits de plantes, de l’extrait de fleur d’hibiscus, de l’extrait de fruit d’églantier et de l’extrait de pensée. Ce soin assure une hydratation intense pendant 24 heures, aide à prévenir la formation de rugosités et de callosités. Vos pieds sont soulagés, votre peau est visiblement plus douce et plus souple. Sa texture non collante est rapidement absorbée. Appliquez la crème sur des pieds propres et secs. Massez doucement jusqu’à absorption complète du produit. Insistez au niveau du talon et entre les orteils.;;;taxable;;1;;0;0;;;;;1;;12,9;9,03;SANTE ET BEAUTE;;;;;;;;;;;;;;;;;;;;;;;;;
;simple;;Savon karité;1;1;visible;;"Les vertus du beurre de karité associées à celles de l’huile d’amande douce dans un nouveau savon Arvea : ""Le savon karité"" pour nettoyer en douceur, hydrater et apaiser la peau. Sans allergènes, ni colorants convient aux peaux sensibles.";;;taxable;;1;;0;0;;;;;1;;7,9;5,53;SANTE ET BEAUTE;;;;;;;;;;;;;;;;;;;;;;;;;
